Place,Road Density,Public Transport Density,Healthcare Accessibility,Education Accessibility,Emergency Services Density,Retail Density,Employment Centers Density
"9ème arrondissement, Cotonou",23.643975934940027,0.12920104871063556,1.6796136332382623,2.584020974212711,1.2920104871063556,29.45783910602491,7.7520629226381335
"5ème arrondissement, Cotonou",25.419269729762632,3.0386651230191686,2.2789988422643765,1.5193325615095843,1.5193325615095843,20.662922836530345,18.231990738115012
"3ème arrondissement, Cotonou",36.49818102201749,0.7912283811972932,1.5824567623945864,4.2198846997188975,0.7912283811972932,4.7473702871837595,2.1099423498594487
"10ème arrondissement, Cotonou",36.29588299000667,0.9158018318365495,2.136870940951949,2.136870940951949,1.5263363863942492,6.410612822855847,2.4421382182307987
"11ème arrondissement, Cotonou",30.17854662536948,1.7740538037370772,0.8870269018685386,3.5481076074741544,0.591351267912359,11.827025358247182,9.461620286597745
"4ème arrondissement, Cotonou",36.35303505495552,0.7628051331718761,1.5256102663437523,1.5256102663437523,0.5085367554479174,4.0682940435833395,2.542683777239587
"1er arrondissement, Cotonou",34.2698668530569,0.125840748437935,1.132566735941415,2.390974220320765,0.629203742189675,1.76177047813109,3.02017796251044
"8ème arrondissement, Cotonou",35.1478988101331,1.2564411014341483,2.094068502390247,2.931695903346346,0.0,5.444578106214643,3.3505096038243956
"6ème arrondissement, Cotonou",33.438292474218386,0.2537528287956247,1.5225169727737484,3.045033945547497,1.0150113151824989,27.151552681131847,2.791281116751872
"2ème arrondissement, Cotonou",32.674259115052756,0.0,0.32374314449988933,2.4280735837491703,0.16187157224994467,1.1331010057496127,0.9712294334996681
"7ème arrondissement, Cotonou",38.392983927108475,3.2061182566484474,4.58016893806921,3.6641351504553685,1.8320675752276843,23.816878477959893,7.786287194717658
